
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001749                       # Number of seconds simulated (Second)
simTicks                                   1748657500                       # Number of ticks simulated (Tick)
finalTick                                  1748657500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     26.09                       # Real time elapsed on the host (Second)
hostTickRate                                 67020067                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     662652                       # Number of bytes of host memory used (Byte)
simInsts                                      8104252                       # Number of instructions simulated (Count)
simOps                                       14470791                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   310606                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     554612                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3497316                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14488160                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14497791                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    587                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                17364                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             17356                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3464481                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.184693                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.633941                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    553125     15.97%     15.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    119610      3.45%     19.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    545294     15.74%     35.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    131047      3.78%     38.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    161875      4.67%     43.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    388056     11.20%     54.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    999504     28.85%     83.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    218112      6.30%     89.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    347858     10.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3464481                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     170      0.09%      0.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 34180     18.05%     18.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.14% # attempts to use FU when none available (Count)
