
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005501                       # Number of seconds simulated (Second)
simTicks                                   5501477000                       # Number of ticks simulated (Tick)
finalTick                                  5501477000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     43.11                       # Real time elapsed on the host (Second)
hostTickRate                                127628386                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     662656                       # Number of bytes of host memory used (Byte)
simInsts                                      8104252                       # Number of instructions simulated (Count)
simOps                                       14470791                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   188009                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     335705                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11002955                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14480356                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14487297                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      8                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 9560                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             10079                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10972633                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.320312                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.388573                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7663158     69.84%     69.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    666843      6.08%     75.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    478817      4.36%     80.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     81129      0.74%     81.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     93423      0.85%     81.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    367827      3.35%     85.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1214152     11.07%     96.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    136578      1.24%     97.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    270706      2.47%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10972633                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     320      0.31%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 65388     64.29%     64.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     64.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     64.60% # attempts to use FU when none available (Count)
